index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
659,Silvestre,-20.72,-42.87,18.33,99,4
660,Gran Couva,10.4,-61.37,26.11,88,20
661,South America,-14.6,-57.66,20.46,68,0
662,Peru,40.75,-86.07,18.89,77,1
663,Peru,40.75,-86.07,18.89,77,1
664,Madagascar,-20.0,47.0,9.43,84,31
665,Madagascar,-20.0,47.0,9.43,84,31
666,Rio Caribe,10.7,-63.11,25.07,89,12
667,Madagascar,-20.0,47.0,9.43,84,31
668,Piura,-5.2,-80.63,19.77,69,1
669,Madagascar,-20.0,47.0,9.43,84,31
670,Madagascar,-20.0,47.0,9.43,84,31
671,Dominican Republic,19.0,-70.67,14.59,100,90
672,Chuao,10.49,-67.53,18.89,73,100
673,Baracoa,20.35,-74.5,25.58,82,100
674,Peru,40.75,-86.07,18.89,77,1
675,Porcelana,-22.77,-64.3,17.96,90,98
676,Cabosse,18.31,-73.19,24.6,83,100
677,Los Rios,-27.42,-65.67,17.19,65,70
678,Porcelana,-22.77,-64.3,17.96,90,98
679,Peru,40.75,-86.07,18.89,77,1
680,Cuyagua,10.48,-67.7,25.38,84,100
681,Upala,10.9,-85.01,24.35,87,98
682,San Martín,-33.08,-68.47,18.0,12,0
683,Estado de Bahia,-12.0,-42.0,16.6,95,13
684,Upala,10.9,-85.01,24.35,87,98
685,Peru,40.75,-86.07,18.89,77,1
686,Porcelana,-22.77,-64.3,17.96,90,98
687,Chuao,10.49,-67.53,18.89,73,100
688,Cuyagua,10.48,-67.7,25.38,84,100
689,Monte Alegre,-2.01,-54.07,23.36,95,55
690,Tanzania,-6.0,35.0,19.91,70,6
691,Sao Tome,0.34,6.73,24.31,81,51
692,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
693,Madagascar,-20.0,47.0,9.43,84,31
694,Java,42.4,43.94,20.78,50,87
695,Barlovento,28.82,-17.81,18.0,68,74
696,Vanuatu,-16.0,167.0,28.0,78,40
697,Ghana,8.0,-2.0,21.77,94,54
698,Colombia,4.0,-72.0,22.76,95,69
699,Cuba,22.0,-79.5,23.37,93,94
700,Caracas,10.49,-66.88,20.56,68,82
701,Jakarta,-6.21,106.85,35.56,55,20
702,Honduras,15.0,-86.5,18.19,99,99
703,Venezuela,8.0,-66.0,26.21,79,80
704,Brazil,39.52,-87.12,18.0,82,20
705,Brazil,39.52,-87.12,18.0,82,20
706,Brazil,39.52,-87.12,18.0,82,20
707,Brazil,39.52,-87.12,18.0,82,20
708,Brazil,39.52,-87.12,18.0,82,20
709,Brazil,39.52,-87.12,18.0,82,20
710,Mexico,15.06,120.72,25.0,94,90
711,Uranga,-33.27,-60.7,14.44,92,69
712,Madagascar,-20.0,47.0,9.43,84,31
713,Ecuador,-2.0,-77.5,20.98,88,0
714,San Martín,-33.08,-68.47,18.0,12,0
715,Chulucanas,-5.09,-80.16,18.83,73,2
716,Tumbes,-3.57,-80.44,22.18,74,29
717,Piura,-5.2,-80.63,19.77,69,1
718,Raw,54.44,-0.56,11.11,95,100
719,Esmeraldas,-19.76,-44.31,18.0,82,0
720,Los Ríos,18.52,-71.59,25.02,67,100
721,El Oro,26.87,-105.85,21.24,51,84
722,Los Ríos,18.52,-71.59,25.02,67,100
723,Toledo District,16.33,-88.75,24.35,93,100
724,Marañón,42.63,-2.44,9.44,100,20
725,Gran Couva,10.4,-61.37,26.11,88,20
726,Costa Rica,-23.42,-54.65,19.68,83,8
727,Madagascar,-20.0,47.0,9.43,84,31
728,La Masica,15.63,-87.1,25.11,82,72
729,Porcelana,-22.77,-64.3,17.96,90,98
730,Silvestre,-20.72,-42.87,18.33,99,4
731,Silvestre,-20.72,-42.87,18.33,99,4
732,Piura,-5.2,-80.63,19.77,69,1
733,Rio Caribe,10.7,-63.11,25.07,89,12
734,Jamaica,22.98,-82.17,24.0,100,40
735,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
736,Porcelana,-22.77,-64.3,17.96,90,98
737,Aragua,9.97,-63.49,22.76,79,11
738,Príncipe,1.62,7.42,24.86,85,90
739,Samaná,19.21,-69.34,24.68,84,97
740,Latino,-38.69,-62.3,15.17,67,92
741,Midnight,33.05,-90.57,21.0,73,1
742,Twilight,40.11,-79.89,15.56,89,10
743,Esmeraldas,-19.76,-44.31,18.0,82,0
744,Rio Arriba,15.73,-86.11,23.59,90,68
745,São Tomé,0.34,6.73,24.31,81,51
746,Amina,19.55,-71.0,23.89,86,94
747,Tomé Açu,-2.42,-48.15,22.32,97,82
748,Ben Tre,10.23,106.38,34.36,48,49
749,Finisterra,42.9,-9.26,13.89,65,99
750,Las Islas,-1.93,-79.82,24.0,83,13
751,Cuyagua,10.48,-67.7,25.38,84,100
752,Dominican Republic,19.0,-70.67,14.59,100,90
753,Granada,37.19,-3.61,15.0,87,75
754,Jamaica,22.98,-82.17,24.0,100,40
755,Cuyagua,10.48,-67.7,25.38,84,100
756,Ecuador,-2.0,-77.5,20.98,88,0
757,Belize,17.25,-88.75,25.56,72,93
758,Hilo,19.73,-155.09,26.0,65,90
759,Hilo,19.73,-155.09,26.0,65,90
760,Tingo María,-9.29,-76.01,20.28,80,6
761,Porcelana,-22.77,-64.3,17.96,90,98
762,Oro,7.9,5.11,20.17,99,100
763,Peru,40.75,-86.07,18.89,77,1
764,Estado de Bahia,-12.0,-42.0,16.6,95,13
765,Porcelana,-22.77,-64.3,17.96,90,98
766,Esmeraldas,-19.76,-44.31,18.0,82,0
767,Pisa,43.72,10.4,16.11,100,81
768,Ghana,8.0,-2.0,21.77,94,54
769,Nicaragua,13.0,-85.0,22.53,94,98
770,Porcelana,-22.77,-64.3,17.96,90,98
771,Australia,-25.0,135.0,23.56,22,0
772,Bolivia,34.07,-78.15,25.56,78,90
773,Marañón,42.63,-2.44,9.44,100,20
774,Chuao,10.49,-67.53,18.89,73,100
775,Ghana,8.0,-2.0,21.77,94,54
776,Madagascar,-20.0,47.0,9.43,84,31
777,Ecuador,-2.0,-77.5,20.98,88,0
778,Ecuador,-2.0,-77.5,20.98,88,0
779,Madagascar,-20.0,47.0,9.43,84,31
780,Marañón,42.63,-2.44,9.44,100,20
781,Castillo,16.36,120.91,21.32,94,94
782,Bundibugyo,0.74,30.04,19.22,84,67
783,Amazonas,-5.0,-63.0,22.95,97,54
784,Bolivia,34.07,-78.15,25.56,78,90
785,San Martín,-33.08,-68.47,18.0,12,0
